model,sampling,precision,recall,roc_auc
dt,none,0.25,0.047619047619047616,0.5768042232665936
dt,smote,0.05263157894736842,0.09523809523809523,0.5414493873259082
dt,under,0.01040582726326743,0.47619047619047616,0.5392712289963304
gb,none,0.25,0.09523809523809523,0.4463936994356102
gb,smote,0.6666666666666666,0.09523809523809523,0.4475632524303096
gb,under,0.011727078891257996,0.5238095238095238,0.5922659284534003
knn,none,1.0,0.09523809523809523,0.5521363119380244
knn,smote,0.02666666666666667,0.19047619047619047,0.5479409429386897
knn,under,0.012072434607645875,0.5714285714285714,0.563220240777699
lr,none,0.005979073243647235,0.19047619047619047,0.4683791497671624
lr,smote,0.008051529790660225,0.23809523809523808,0.4841734801175991
lr,under,0.009375,1.0,0.5
rf,none,1.0,0.09523809523809523,0.5360630056438979
rf,smote,1.0,0.09523809523809523,0.4052232880533917
rf,under,0.012915129151291513,0.6666666666666666,0.6104208244812119
svm,none,0.0,0.0,0.5106547350801519
svm,smote,0.11764705882352941,0.09523809523809523,0.48129788192879674
svm,under,0.009305654974946313,0.6190476190476191,0.4655786604862766
